"ACFL","AMCR","AMGO","AMRE","AMRO","BACS","BAWW","BDOW","BGGN","BHCO","BHNU","BHVI","BLGR","BLJA","BRTH","CACH","CAGO","CAWR","CEWA","CHSP","CHSW","CHUCK","COGR","COYE","DOWO","EABL","EAPH","EATO","EAWP","FICR","FISP","GCFL","GHOW","GRCA","HAWO","HOFI","HOWA","INBU","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NOWA","OVEN","owl","OWL","PIWA","PIWO","PRWA","RBHU","RBWO","REVI","RHWO","RSHA","RTHU","RWBB","SUTA","TUTI","WBNU","WEVI","WHIP","WITU","WOTH","WTSP","YBCH","YBCU","YEWA","YTWA"
"1",3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,3,4,0,0,0,1,0,0,2,0,1,0
"2",4,5,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,4,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,4,5,0,1,0,0,0,0,2,0,0,1
"3",5,4,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,0,5,0,0,0,3,1,0,1,0,0,5,6,0,0,0,0,0,0,2,0,0,1
"4",4,5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,5,0,5,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,4,6,0,0,0,0,0,0,2,0,1,1
