SiteName,Type,SR,Sdate,Stime,Year
Blease_3B_6,PC,18,30,414,A
Blease_3B_9,PC,19,30,399,A
Bryson_2B_9,PC,11,28,409,A
Creswell_0B_8,PC,13,36,456,A
Creswell_2B_10,PC,15,36,479,A
Hudson_2B_7,PC,18,34,499,A
Kemp_0B_10,PC,16,36,535,A
Kemp_1B_1,PC,14,48,444,A
Kemp_2B_5,PC,12,48,468,A
Kessler_3B_4,PC,12,35,396,A
Kessler_3B_5B,PC,18,35,361,A
Mathis_1B_6,PC,14,36,351,A
Mills_0B_9,PC,12,40,470,A
Mills_1B_45,PC,18,40,500,A
Shealy_0B_2,PC,14,37,471,A
Shealy_0B_4,PC,17,37,426,A
Shealy_1B_3B,PC,14,37,376,A
Shealy_1B_E_S,PC,14,37,348,A
Shealy_2B_3,PC,16,37,446,A
Suggs_0B_E_S,PC,16,33,357,A
Swanson_3B_2,PC,12,48,373,A
Turkey_Rd_2B_6A,PC,16,36,424,A
Timberhaven_2B_1,PC,19,30,501,A
Burnett_1B_5,PC,16,34,418,A
Honea_Path_3B_3,PC,15,33,410,A
Honea_Path_3B_1,PC,17,33,425,A
Honea_Path_0B_1,PC,14,35,460,A
Abercrombie_0B_E_AB,PC,15,35,488,A
Abercrombie_1B_2,PC,15,35,504,A
Battlewood_1B_8,PC,19,40,412,B
Blease_3B_6,PC,14,34,370,B
Blease_3B_9,PC,12,34,355,B
Bryson_2B_9,PC,11,42,394,B
Burnett_1B_5,PC,15,40,358,B
Creswell_0B_8,PC,12,36,362,B
Creswell_2B_10,PC,15,36,379,B
Gosnell_0B_5B,PC,17,34,445,B
Hood_Creek_Rd_0B_7,PC,14,34,482,B
Hudson_2B_7,PC,15,40,503,B
Kemp_1B_1,PC,20,32,462,B
Kemp_2B_5,PC,13,41,356,B
Kessler_3B_4,PC,16,35,547,B
Kessler_3B_5B,PC,20,35,513,B
Mathis_1B_6,PC,17,41,467,B
Mills_0B_9,PC,13,31,364,B
Mills_1B_45,PC,13,31,390,B
Shealy_0B_2,PC,12,37,354,B
Shealy_0B_4,PC,20,36,462,B
Shealy_1B_3B,PC,14,36,520,B
Shealy_1B_E_S,PC,12,36,482,B
Shealy_2B_3,PC,17,36,547,B
Suggs_0B_E_S,PC,15,35,428,B
Swanson_3B_2,PC,20,32,498,B
Timberhaven_2B_1,PC,15,32,358,B
Abercrombie_0B_E_AB,PC,14,39,432,B
Abercrombie_1B_2,PC,16,39,415,B
Honea_Path_0B_1,PC,16,39,484,B
Honea_Path_3B_1,PC,14,39,356,B
Honea_Path_3B_3,PC,17,39,379,B
