Site+,Treatment,BA,Nsnags,Ccover,Ldepth,TreeHeight,LCR,Age,Nburns,Nthins,Last_burn,Time_since_burn,Last_thin,Herbicide,y_proj,x_proj,Latitude,Longitude
Timberhaven_3B_7,3B,42,0,55.592,0.725,67.883,0.5,32,8,3,2016,1,2015,1,3758072.432,415202.0639,33.95975537,-81.91780083
Timberhaven_3B_8,3B,38,0,67.084,0.313,66.8,0.51,34,8,3,2016,1,2016,1,3758997.599,414676.5225,33.9680558,-81.92357847
Turkey_Rd_2B_6A,2B,66,0.2,82.58,1.588,61,0.5,26,2,2,2015,2,2007,1,3742741.779,396069.858,33.81979552,-82.1230303
Turkey_Rd_2B_6B,2B,82,0,84.764,1.888,58.933,0.49,26,2,2,2015,2,2007,1,3742616.209,396662.882,33.81872138,-82.11660868
Turner_Abercrombie_0B_E_AB,0B,97,2.2,93.916,3.113,56.267,0.49,16,0,1,.,.,2015,1,3818197.333,370685.0196,34.49729889,-82.40851684
Turner_Abercrombie_1B_2,1B,114,2,96.724,1.25,57.667,0.52,16,1,1,2016,1,2015,0,3818335.96,371154.1923,34.49860747,-82.40342885
Turner_Honea_Path_0B_1,0B,121,0.6,98.18,3.25,56.533,0.49,16,0,1,.,.,2015,1,3810453.688,373530.6217,34.42783839,-82.37638372
Turner_Honea_Path_0B_6,0B,92,0.2,97.036,2.6,71.4,0.46,24,0,2,.,.,2016,0,3810006.464,375805.8098,34.42408246,-82.35156382
Turner_Honea_Path_3B_1,3B,76,1,93.24,2.8,76.4,0.4,25,3,2,2011,6,2015,1,3809110.14,376110.0804,34.41603793,-82.34812363
Turner_Honea_Path_3B_3,3B,90,0.4,93.396,2.625,75.2,0.41,29,3,2,2011,6,2015,1,3809113.765,376322.0926,34.41609602,-82.34581769
