"ACFL","AMCR","AMGO","BAWW","BGGN","BHCO","BHNU","BLJA","BRTH","CACH","CAGO","CAWR","CHSP","CHUCK","COGR","COYE","DOWO","EABL","EAPH","EATO","EAWP","FICR","FISP","GCFL","GRCA","HAWO","HOWA","INBU","MODO","NOBO","NOCA","NOFL","NOMO","NOWA","OVEN","PIWA","PIWO","PRWA","RBWO","REVI","RHWO","RSHA","SUTA","TUTI","WBNU","WEVI","WHIP","WITU","WOTH","YBCH","YBCU","YEWA","YTWA"
"1",18,93,21,13,15,7,25,25,3,47,6,56,16,0,0,5,9,21,0,71,42,0,9,12,1,1,5,59,70,10,80,0,4,1,12,92,5,17,37,2,4,6,55,72,0,6,4,5,16,34,20,2,5
"2",19,84,18,7,27,14,23,27,0,35,0,59,43,3,2,0,15,10,2,70,43,4,12,9,0,0,1,59,55,19,95,3,2,0,12,87,6,20,44,4,10,4,43,92,2,13,3,5,17,31,13,3,2
"3",10,89,15,6,13,6,17,15,0,19,0,60,32,0,0,2,8,22,0,70,41,0,9,19,0,1,10,52,67,12,79,5,10,0,8,90,2,10,38,7,7,3,45,78,0,6,12,6,8,34,9,0,3
