SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,15,3,570,43181,26,3,A
Blease_3B_9,AC,14,16,403,43181,23,2,A
Bryson_2B_9,AC,11,31,497,43186,17,1,A
Creswell_0B_8,AC,10,33,380,43195,20,2,A
Creswell_2B_10,AC,12,23,503,43196,32,3,A
Hudson_2B_7,AC,16,24,382,43182,31,3,A
Kemp_0B_10,AC,13,30,479,43188,18,2,A
Kemp_1B_1,AC,17,27,481,43188,20,2,A
Kemp_2B_5,AC,14,10,580,43188,25,4,A
Kessler_3B_4,AC,11,22,409,43188,18,3,A
Kessler_3B_5B,AC,15,20,473,43193,30,2,A
Mathis_1B_6,AC,13,33,503,43194,24,3,A
Mills_0B_9,AC,10,23,409,43185,12,1,A
Mills_1B_45,AC,14,50,357,43196,15,2,A
Shealy_0B_2,AC,10,4,367,43193,21,2,A
Shealy_0B_4,AC,13,24,454,43189,18,2,A
Shealy_1B_3B,AC,12,10,429,43194,16,2,A
Shealy_1B_E_S,AC,15,24,423,43194,13,2,A
Shealy_2B_3,AC,14,38,450,43181,33,3,A
Suggs_0B_E_S,AC,18,35,412,43185,65,7,A
Swanson_3B_2,AC,17,10,461,43189,38,7,A
Turkey_Rd_2B_6A,AC,15,10,540,43196,19,2,A
Timberhaven_2B_1,AC,16,32,419,43192,30,4,A
Burnett_1B_5,AC,17,36,353,43189,32,6,A
Honea_Path_3B_3,AC,18,2,484,43193,43,8,A
Honea_Path_3B_1,AC,18,16,408,43192,30,2,A
Honea_Path_0B_1,AC,11,8,357,43185,14,1,A
Abercrombie_0B_E_AB,AC,10,2,418,43185,29,3,A
Abercrombie_1B_2,AC,12,16,448,43186,27,8,A
Blease_3B_6,PC,16,2,365,,,,A
Blease_3B_9,PC,16,2,382,,,,A
Bryson_2B_9,PC,11,1,589,,,,A
Creswell_0B_8,PC,15,7,392,,,,A
Creswell_2B_10,PC,12,7,370,,,,A
Hudson_2B_7,PC,16,1,378,,,,A
Kemp_0B_10,PC,13,9,386,,,,A
Kemp_1B_1,PC,16,8,448,,,,A
Kemp_2B_5,PC,15,8,428,,,,A
Kessler_3B_4,PC,9,5,360,,,,A
Kessler_3B_5B,PC,20,5,411,,,,A
Mathis_1B_6,PC,16,7,503,,,,A
Mills_0B_9,PC,8,8,514,,,,A
Mills_1B_45,PC,14,8,544,,,,A
Shealy_0B_2,PC,11,2,466,,,,A
Shealy_0B_4,PC,15,2,494,,,,A
Shealy_1B_3B,PC,14,9,575,,,,A
Shealy_1B_E_S,PC,13,2,549,,,,A
Shealy_2B_3,PC,16,2,519,,,,A
Suggs_0B_E_S,PC,17,6,470,,,,A
Swanson_3B_2,PC,21,8,390,,,,A
Turkey_Rd_2B_6A,PC,20,7,428,,,,A
Timberhaven_2B_1,PC,19,9,441,,,,A
Burnett_1B_5,PC,12,1,441,,,,A
Honea_Path_3B_3,PC,13,0,508,,,,A
Honea_Path_3B_1,PC,18,0,524,,,,A
Honea_Path_0B_1,PC,15,6,407,,,,A
Abercrombie_0B_E_AB,PC,12,0,429,,,,A
Abercrombie_1B_2,PC,12,0,409,,,,A
Battlewood_1B_8,AC,16,41,511,43325,12,3,B
Blease_3B_6,AC,15,20,499,43317,15,2,B
Blease_3B_9,AC,12,32,354,43320,16,2,B
Bryson_2B_9,AC,12,6,407,43314,13,1,B
Burnett_1B_5,AC,14,6,485,43314,16,2,B
Creswell_0B_8,AC,10,34,391,43320,12,1,B
Creswell_2B_10,AC,15,29,509,43318,13,1,B
Gosnell_0B_5B,AC,11,36,364,43325,12,1,B
Hood_Creek_Rd_0B_7,AC,12,35,400,43325,12,1,B
Hudson_2B_7,AC,15,24,352,43317,13,1,B
