"ACFL","AMCR","AMGO","AMRE","AMRO","BACS","BAWW","BDOW","BGGN","BHCO","BHNU","BHVI","BLGR","BLJA","BRTH","CACH","CAGO","CAWR","CEWA","CHSP","CHSW","CHUCK","COGR","COYE","DOWO","EABL","EAPH","EATO","EAWP","FICR","FISP","GCFL","GHOW","GRCA","HAWO","HOFI","HOWA","INBU","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NOWA","OVEN","owl","OWL","PIWA","PIWO","PRWA","RBHU","RBWO","REVI","RHWO","RSHA","RTHU","RWBB","SUTA","TUTI","WBNU","WEVI","WHIP","WITU","WOTH","WTSP","YBCH","YBCU","YEWA","YTWA"
"1",0,6,1,0,0,0,0,0,1,1,1,0,0,0,0,4,0,2,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,2,4,2,4,1,0,0,0,0,0,0,2,0,0,0,4,2,1,0,0,0,1,4,1,0,0,0,3,0,1,1,1,0
"2",0,5,0,0,0,0,0,0,1,2,0,0,0,1,0,4,2,1,0,1,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,2,6,0,0,0,0,3,0,3,1,1,0
"3",0,6,2,0,0,0,0,0,1,2,0,0,0,1,0,4,2,1,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,2,5,0,0,0,1,3,0,3,1,0,0
"4",0,6,4,0,0,0,0,0,1,2,0,0,0,3,0,2,0,2,0,1,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,0,3,3,0,0,0,0,3,0,5,2,0,0
