SiteName,Type,SR,Sdate,Stime,Year
Blease_3B_6,PC,18,15,465,2017
Blease_3B_9,PC,13,15,481,2017
Bryson_2B_9,PC,8,10,501,2017
Creswell_0B_8,PC,10,20,495,2017
Creswell_2B_10,PC,13,20,517,2017
Hudson_2B_7,PC,17,22,422,2017
Kemp_0B_10,PC,12,29,458,2017
Kemp_1B_1,PC,10,29,387,2017
Kemp_2B_5,PC,12,29,358,2017
Kessler_3B_4,PC,12,19,487,2017
Kessler_3B_5B,PC,18,19,534,2017
Mathis_1B_6,PC,14,20,401,2017
Mills_0B_9,PC,14,23,362,2017
Mills_1B_45,PC,13,23,392,2017
Shealy_0B_2,PC,13,21,360,2017
Shealy_0B_4,PC,18,24,380,2017
Shealy_1B_3B,PC,13,21,421,2017
Shealy_1B_E_S,PC,15,21,457,2017
Shealy_2B_3,PC,14,24,361,2017
Suggs_0B_E_S,PC,18,19,356,2017
Swanson_3B_2,PC,17,23,476,2017
Turkey_Rd_2B_6A,PC,17,20,440,2017
Timberhaven_2B_1,PC,14,15,414,2017
Burnett_1B_5,PC,13,22,356,2017
Honea_Path_3B_3,PC,17,19,427,2017
Honea_Path_3B_1,PC,17,19,412,2017
Honea_Path_0B_1,PC,12,16,380,2017
Abercrombie_0B_E_AB,PC,13,16,432,2017
Abercrombie_1B_2,PC,10,16,410,2017
Battlewood_1B_8,PC,15,23,521,2018
Blease_3B_6,PC,13,20,362,2018
Blease_3B_9,PC,13,20,379,2018
Bryson_2B_9,PC,16,26,449,2018
Burnett_1B_5,PC,14,23,446,2018
Creswell_0B_8,PC,14,27,380,2018
Creswell_2B_10,PC,15,27,362,2018
Gosnell_0B_5B,PC,15,21,424,2018
Hood_Creek_Rd_0B_7,PC,11,21,371,2018
Hudson_2B_7,PC,15,23,357,2018
Kemp_1B_1,PC,13,19,426,2018
Kemp_2B_5,PC,17,27,450,2018
Kessler_3B_4,PC,17,24,372,2018
Kessler_3B_5B,PC,19,24,414,2018
Mathis_1B_6,PC,19,28,450,2018
Mills_0B_9,PC,11,19,519,2018
Mills_1B_45,PC,18,19,491,2018
Shealy_0B_2,PC,11,22,456,2018
Shealy_0B_4,PC,13,22,412,2018
Shealy_1B_3B,PC,16,22,368,2018
Shealy_1B_E_S,PC,13,24,516,2018
Shealy_2B_3,PC,12,22,428,2018
Suggs_0B_E_S,PC,18,21,505,2018
Swanson_3B_2,PC,14,19,387,2018
Timberhaven_2B_1,PC,18,20,489,2018
Abercrombie_0B_E_AB,PC,12,25,355,2018
Abercrombie_1B_2,PC,15,25,373,2018
Honea_Path_0B_1,PC,20,25,402,2018
Honea_Path_3B_1,PC,18,25,454,2018
Honea_Path_3B_3,PC,20,25,470,2018
