Site,Point,Species
Turner_Abercrombie_0B_E_AB,0BEAB,TUTI
Turner_Abercrombie_0B_E_AB,0BEAB,DOWO
Turner_Abercrombie_0B_E_AB,0BEAB,BHCO
Turner_Abercrombie_0B_E_AB,0BEAB,BLJA
Turner_Abercrombie_0B_E_AB,0BEAB,RBWO
Turner_Abercrombie_0B_E_AB,0BEAB,RBWO
Turner_Abercrombie_0B_E_AB,0BEAB,EABL
Turner_Abercrombie_1B_2,1B2,CAWR
Turner_Abercrombie_1B_2,1B2,TUTI
Turner_Abercrombie_1B_2,1B2,INBU
Turner_Abercrombie_1B_2,1B2,PIWA
Turner_Abercrombie_1B_2,1B2,TUTI
Turner_Abercrombie_1B_2,1B2,BLJA
Turner_Abercrombie_1B_2,1B2,NOCA
Turner_Abercrombie_1B_2,1B2,FISP
Turner_Abercrombie_1B_2,1B2,NOCA
Turner_Abercrombie_1B_2,1B2,DOWO
Turner_Abercrombie_1B_2,1B2,DOWO
Turner_Abercrombie_1B_2,1B2,RBWO
Turner_Abercrombie_1B_2,1B2,CACH
Turner_Abercrombie_1B_2,1B2,AMCR
Turner_Abercrombie_1B_2,1B2,AMGO
Turner_Abercrombie_1B_2,1B2,BLJA
Turner_Abercrombie_1B_2,1B2,BHNU
Turner_Honea_Path_0B_1,0B1,AMGO
Turner_Honea_Path_0B_1,0B1,TUTI
Turner_Honea_Path_0B_1,0B1,PIWA
Turner_Honea_Path_0B_1,0B1,AMCR
Turner_Honea_Path_0B_1,0B1,INBU
Turner_Honea_Path_0B_1,0B1,RBWO
Turner_Honea_Path_0B_1,0B1,EATO
Turner_Honea_Path_0B_1,0B1,TUTI
Turner_Honea_Path_0B_1,0B1,PIWA
Turner_Honea_Path_0B_1,0B1,UNKN3
Turner_Honea_Path_0B_1,0B1,RBWO
Turner_Honea_Path_0B_1,0B1,CAWR
Turner_Honea_Path_0B_1,0B1,INBU
Turner_Honea_Path_0B_1,0B1,REVI
Turner_Honea_Path_0B_1,0B1,EAWP
Turner_Honea_Path_0B_1,0B1,CHSP
Turner_Honea_Path_0B_1,0B1,CHSP
Turner_Honea_Path_0B_1,0B1,EABL
Turner_Honea_Path_0B_6,0B6,PIWA
Turner_Honea_Path_0B_6,0B6,PIWA
Turner_Honea_Path_0B_6,0B6,CACH
Turner_Honea_Path_0B_6,0B6,CACH
Turner_Honea_Path_0B_6,0B6,EATO
Turner_Honea_Path_0B_6,0B6,CHSP
Turner_Honea_Path_0B_6,0B6,YBCH
Turner_Honea_Path_0B_6,0B6,TUTI
Turner_Honea_Path_0B_6,0B6,NOFL
Turner_Honea_Path_0B_6,0B6,FISP
Turner_Honea_Path_0B_6,0B6,REVI
Turner_Honea_Path_0B_6,0B6,BLJA
Turner_Honea_Path_0B_6,0B6,EAPH
Turner_Honea_Path_0B_6,0B6,NOCA
Turner_Honea_Path_0B_6,0B6,EATO
Turner_Honea_Path_0B_6,0B6,AMCR
Turner_Honea_Path_0B_6,0B6,NOCA
Turner_Honea_Path_0B_6,0B6,RBWO
Turner_Honea_Path_0B_6,0B6,BGGN
Turner_Honea_Path_0B_6,0B6,BHCO
Turner_Honea_Path_0B_6,0B6,REVI
Turner_Honea_Path_0B_6,0B6,TUTI
Turner_Honea_Path_3B_1,3B1,YBCH
Turner_Honea_Path_3B_1,3B1,CAWR
Turner_Honea_Path_3B_1,3B1,PIWA
Turner_Honea_Path_3B_1,3B1,BGGN
Turner_Honea_Path_3B_1,3B1,AMCR
Turner_Honea_Path_3B_1,3B1,TUTI
Turner_Honea_Path_3B_1,3B1,BAWW
Turner_Honea_Path_3B_1,3B1,CAWR
Turner_Honea_Path_3B_1,3B1,SUTA
Turner_Honea_Path_3B_1,3B1,EATO
Turner_Honea_Path_3B_1,3B1,BHNU
Turner_Honea_Path_3B_1,3B1,CACH
Turner_Honea_Path_3B_1,3B1,REVI
Turner_Honea_Path_3B_1,3B1,BLJA
Turner_Honea_Path_3B_1,3B1,TUTI
Turner_Honea_Path_3B_1,3B1,MODO
Turner_Honea_Path_3B_1,3B1,MODO
Turner_Honea_Path_3B_1,3B1,NOCA
Turner_Honea_Path_3B_1,3B1,CACH
Turner_Honea_Path_3B_1,3B1,INBU
Turner_Honea_Path_3B_1,3B1,DOWO
Turner_Honea_Path_3B_3,3B3,TUTI
Turner_Honea_Path_3B_3,3B3,NOCA
Turner_Honea_Path_3B_3,3B3,AMCR
Turner_Honea_Path_3B_3,3B3,CACH
Turner_Honea_Path_3B_3,3B3,BHVI
Turner_Honea_Path_3B_3,3B3,RBWO
Turner_Honea_Path_3B_3,3B3,INBU
Turner_Honea_Path_3B_3,3B3,BHCO
Turner_Honea_Path_3B_3,3B3,NOCA
Turner_Honea_Path_3B_3,3B3,EAWP
Turner_Honea_Path_3B_3,3B3,TUTI
Turner_Honea_Path_3B_3,3B3,CACH
Turner_Honea_Path_3B_3,3B3,RBWO
Turner_Honea_Path_3B_3,3B3,WITU
Turner_Honea_Path_3B_3,3B3,INBU
Turner_Honea_Path_3B_3,3B3,EATO
Turner_Honea_Path_3B_3,3B3,INBU
Turner_Honea_Path_3B_3,3B3,SUTA
Turner_Honea_Path_3B_3,3B3,MODO
Turner_Honea_Path_3B_3,3B3,BHCO
Turner_Honea_Path_3B_3,3B3,UNKN
Turner_Honea_Path_3B_3,3B3,CHSP
Turner_Honea_Path_3B_3,3B3,CAWR
