Site,y.1,y.2,y.3,y.4,YearCat,Treatment,Herbicide,LastB,LastT,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,TimeSinceB,TimeSinceT,HWdens_10,HWdens_50,HWdens_100,FG_herb,FG_shrub,NHW_saplings,NP_over_20cm,Rel_HW2P_canopy,Rel_HW2P_shrubcover,LCR,HW_dens_1050,HW_shrub,Parea,ShapeIndex,PAratio,FracDimIndex,CoreAreaIndex,Ag500m,Ag1km,Ag5km,Ag30km,Evergreen500m,Evergreen1km,Evergreen5km,Evergreen30km,Imperv500m,Imperv1km,Imperv5km,Imperv30km,Protected30km,HighDev500m,HighDev1km,HighDev5km,HighDev30km,LowDev500m,LowDev1km,LowDev5km,LowDev30km,OpenDev500m,OpenDev1km,OpenDev5km,OpenDev30km,Grass500m,Grass1km,Grass5km,Grass30km,Schrubs500m,Schrubs1km,Schrubs5km,Schrubs30km,Water500m,Water1km,Water5km,Water30km,NSoilTypes,FPSiteIndex,SiteIndexPrimaryS,PISoils,SISoils,HydricSoils,Latitude,Longitude,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4,Time.1,Time.2,Time.3,Time.4
Gosnell_0B_5A,3,4,5,,A,0B,0,,2008,110,0.2,98.388,1.763,74.7,22,0,1,50,9,11.25,10.4,7.2,0.202,0,12.2,4.8,0.47,1,0.43,19.75,22.3,176.031,1.294117647,0.006285714,1.040664387,0.428571429,0,6.218072891,1787.507264,88996.34613,47.11366962,186.2393392,3379.464868,71725.65495,0,0,8.452320503,5357.503396,2899.086047,0,0,4.306885246,3524.126329,0,0,40.08876499,9696.851489,0,7.426250864,547.3399766,30333.03511,13.94070474,51.61182928,1134.199956,40885.94811,0.719275802,21.57914748,548.8479914,16511.62863,0,4.429731569,211.3152301,8412.658752,4,81.218,80,7.8,0,0.39,34.45008673,-82.13503696,1,1,2,,0,1,1,,0,1,2,,0,10,33,,232,34,128,
Gosnell_0B_5B,3,5,6,,A,0B,0,,2008,98,0.4,96.672,3.063,75.333,22,0,1,50,9,15.6,8.4,9.4,0.014,0,8.6,4,0.46,1,0.45,24,18.3,176.031,1.294117647,0.006285714,1.040664387,0.428571429,1.770074794,76.29971784,2126.044619,89872.24984,57.15409129,162.9403714,3158.296351,70229.94403,0.44479,0.444789687,4.23611577,5362.41443,2987.423759,0.152272,0.224495521,1.97304969,3521.195704,1.642795307,1.86519015,36.62765928,9584.059234,3.004901628,21.17158041,540.1136526,30087.74813,4.309922652,63.29350703,1157.887544,40846.75578,0.889902191,26.98722554,437.5370184,16159.45781,0,0,261.5419344,8296.487137,4,81.218,80,7.8,0,0.39,34.45198129,-82.1439134,1,2,2,,0,1,0,,1,2,1,,10,21,33,,14,185,146,
Hood_Creek_0B_7,3,2,5,,A,0B,0,,2012,104,0,99.22,2.113,81.667,25,0,1,50,5,16.4,12,10.2,0.212,0.076,27.8,2.8,0.55,1,0.42,28.4,29.5,48.751,1.333333333,0.013333333,1.05728152,0,19.02778353,73.89151541,2769.956106,91523.08145,61.31242993,135.9486033,2638.699849,68493.54961,0,0,4.802149056,4965.69886,2990.347865,0,0,2.049562407,3571.073519,0,0.444262089,40.8755722,9121.573846,6.352851203,18.20951307,579.5985185,30140.99913,14.6620781,60.85979873,1258.787758,41145.56349,6.392402112,21.86617758,437.935969,15683.7362,0,0,314.7578504,8028.457764,5,72.866,71,28.5,64.6,0,34.45371894,-82.16041309,1,1,2,,1,1,0,,1,2,2,,6,10,33,,17,84,182,
Hood_Creek_0B_HC,4,6,8,,A,0B,0,,2012,97,0,98.388,3.363,64.667,25,0,1,50,5,15.2,9.2,5.4,0.127,0.245,4.4,4.2,0.13,0.58,0.51,24.4,8.3,19.893,1.333333333,0.02,1.061395976,0,2.46254585,110.6458489,2796.983672,91209.25554,68.52573503,125.707003,2724.31558,68779.11223,0,0,4.004423636,5056.96489,3005.771497,0,0,1.745018721,3584.625999,0,0.66718453,35.2409015,9182.740828,5.971896495,21.52720339,551.6812287,30273.74279,13.21878552,43.62381759,1242.721571,41012.38326,8.008247982,17.7355756,433.5444728,15766.91851,0,0,268.2503444,8081.346658,5,75.334,81,0,87.6,0,34.45193041,-82.15869421,3,2,3,,1,2,1,,2,2,2,,10,21,33,,67,161,165,
Howard_2B_4,3,6,2,,A,2B,0,2016,2016,67,0,86.324,3.388,59.383,25,2,2,1,1,26.4,5.4,1.2,0.248,0,1,4,0.14,0.5,0.52,31.8,1.9,38.894,1.25,0.0125,1.037243574,0.0625,0,27.10017177,3335.579348,98848.79919,9.384425701,35.02218636,1021.848734,34874.245,0,4.447896866,232.2730642,28615.26143,3872.193542,0,3.097599569,139.6108672,1268.739616,0,5.940666826,422.5843771,33558.38266,1.314162091,23.11058308,1354.963793,64514.25225,32.59188412,141.1086599,1490.175992,39480.36822,26.41159885,30.14817353,107.6943081,6023.494139,0,0,245.977253,3580.383497,5,78.1483871,78,14.9,40.1,0.15,34.62925703,-82.42031151,1,3,1,,1,1,2,,2,0,1,,0,16,40,,20,126,3,
Hudson_2B_7,1,6,6,,A,2B,1,2013,2016,73,0.8,87.624,1.738,72.133,26,2,1,4,1,32.8,28,31.4,0.67,0.015,3.6,3.2,0.17,1,0.47,60.8,30.5,28.115,1,0.012307692,1.017633482,0.153846154,3.041843469,4.809915501,1698.030666,32255.31043,46.66621075,294.0982172,5543.193869,191937.8031,0,0,3.641090948,1573.022023,140733.696,0,0,1.506884989,6841.022279,0,0.142417401,38.04350286,3989.513409,2.79090977,7.474652492,422.1989116,17332.81964,13.47824363,21.15022192,686.5236471,42386.25707,0,0,216.6289385,12489.00689,0,0,64.46687797,2879.149619,4,78.955,80,4.7,59.5,0.235,34.60905254,-81.58462294,1,1,2,,1,1,1,,1,1,1,,1,22,34,,30,74,151,
Hudson_2B_8,3,1,3,,A,2B,1,2014,2016,83,0.8,82.788,1.963,65.867,26,2,1,3,1,48.2,26.6,17.4,0.441,0.11,3.8,2.8,0.2,0.8,0.43,74.8,20,46.199,1.333333333,0.014117647,1.062299352,0.058823529,0,4.639136598,1453.290065,32730.14843,77.67201124,280.6530616,5692.170342,191963.3332,0,0,3.641090948,1617.585645,142939.924,0,0,1.506884989,7207.071476,0.304543686,2.462179569,24.28742993,4083.231801,19.02444635,48.23688801,414.3018871,17715.55163,0.900730317,42.09734468,494.4660073,41895.75127,0,5.920413211,184.015727,12483.69781,0,0,68.23499093,2760.361882,3,79.82,80,0,46.7,0,34.60471868,-81.59200438,1,3,2,,1,1,1,,1,1,1,,1,22,34,,9,98,130,
Kemp_0B_10,4,7,6,,A,3B,1,2017,,74,0,93.24,2.188,77.2,32,7,2,0,6,26.6,42.2,43.2,0.922,0,10.4,3.6,0.05,1,0.32,68.8,34.7,21.693,1.166666667,0.0175,1.037740711,0,22.47106838,47.43679566,924.0553134,44513.98405,62.02154663,256.4148403,6387.078539,103688.793,0,0,0.300169124,3110.57931,81818.93223,0,0,0,11678.94659,0,0,25.89977592,7675.533239,0,0,289.0738041,13866.09494,0,6.999567442,1059.642535,35223.37335,4.324154639,8.466376024,318.7701293,19965.46171,0,0,47.61605267,14064.98725,2,80,80,0,60.8,0,33.75264893,-81.97366839,1,3,2,,1,2,1,,2,0,0,,9,29,36,,38,110,187,
Kemp_1B_1,4,3,1,,A,1B,1,2016,2016,78,0,84.556,3.863,59.733,15,1,1,1,1,17,13.6,20.4,0.378,0.015,3,3.8,0.05,1,0.4,30.6,17.5,19.598,1.666666667,0.028571429,1.114103361,0,35.56263925,80.00436624,883.3533725,47895.80054,66.46727579,288.9463229,6333.668706,100522.5165,0,0,103.7284659,3569.644443,58165.66591,0,0,66.30945274,13881.95742,2.83479767,5.327142766,147.3319456,8498.182175,3.17808018,8.359204509,400.3141078,14375.93899,6.729941847,33.4500284,1113.015511,38886.62503,3.141523877,25.81507144,434.2153459,18410.2871,2.640976599,10.40331313,43.31111429,7062.227446,5,82.115,83,17.3,79.9,0,33.74718217,-81.94524963,3,2,4,,3,2,1,,2,1,1,,8,29,48,,100,39,96,
Kemp_2B_2,3,1,4,,A,2B,1,2014,2016,84,0,82.944,2.713,58,17,2,2,3,1,33.4,39.6,14.2,0.496,0,5.4,4,0.16,0.93,0.44,73,17.5,27.685,1.142857143,0.013333333,1.024598204,0,0,34.86185222,954.2213704,47368.06193,47.8157379,262.3358932,6203.569965,103721.3415,0,0.300169124,89.92888525,3079.458152,65834.5595,0,0,56.60328972,13348.90239,0,0.206362213,172.405107,7457.541239,5.268019053,11.05953999,490.6952948,13651.61135,28.50066992,69.36258756,998.0611777,37692.61787,0,3.977387457,393.571494,19221.18132,0.411559422,1.853809333,53.18746358,8136.114216,4,80.87782805,80,3,55.8,0,33.75365384,-81.95434601,3,4,3,,1,2,1,,2,1,1,,9,29,48,,13,80,59,
