SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Battlewood_1B_8,AC,16,41,511,43325,12,3,B
Blease_3B_6,AC,15,20,499,43317,15,2,B
Blease_3B_9,AC,12,32,354,43320,16,2,B
Bryson_2B_9,AC,12,6,407,43314,13,1,B
Burnett_1B_5,AC,14,6,485,43314,16,2,B
Creswell_0B_8,AC,10,34,391,43320,12,1,B
Creswell_2B_10,AC,15,29,509,43318,13,1,B
Gosnell_0B_5B,AC,11,36,364,43325,12,1,B
Hood_Creek_Rd_0B_7,AC,12,35,400,43325,12,1,B
Hudson_2B_7,AC,15,24,352,43317,13,1,B
Kemp_1B_1,AC,14,16,362,43315,13,2,B
Kemp_2B_5,AC,18,28,533,43318,13,1,B
Kessler_3B_4,AC,16,6,568,43314,17,2,B
Kessler_3B_5B,AC,17,36,456,43325,14,2,B
Mathis_1B_6,AC,16,28,469,43320,16,2,B
Mills_0B_9,AC,9,19,447,43315,14,2,B
Mills_1B_45,AC,16,10,404,43314,17,2,B
Shealy_0B_2,AC,19,24,401,43317,13,1,B
Shealy_0B_4,AC,13,36,500,43325,15,3,B
Shealy_1B_3B,AC,14,23,538,43317,16,2,B
Shealy_1B_E_S,AC,16,24,487,43315,12,1,B
Shealy_2B_3,AC,18,11,517,43315,13,2,B
Suggs_0B_E_S,AC,18,4,470,43314,18,2,B
Swanson_3B_2,AC,14,19,420,43317,25,3,B
Timberhaven_2B_1,AC,14,17,394,43315,13,2,B
Abercrombie_0B_E_AB,AC,13,25,547,43318,13,1,B
Abercrombie_1B_2,AC,12,36,353,43320,14,2,B
Honea_Path_0B_1,AC,17,26,395,43318,12,1,B
Honea_Path_3B_1,AC,17,26,561,43318,13,1,B
Honea_Path_3B_3,AC,16,38,365,43320,12,1,B
Battlewood_1B_8,PC,20,7,418,,,,B
Blease_3B_6,PC,22,6,543,,,,B
Blease_3B_9,PC,22,6,558,,,,B
Bryson_2B_9,PC,13,5,359,,,,B
Burnett_1B_5,PC,16,5,541,,,,B
Creswell_0B_8,PC,11,13,502,,,,B
Creswell_2B_10,PC,13,13,520,,,,B
Gosnell_0B_5B,PC,12,11,431,,,,B
Hood_Creek_Rd_0B_7,PC,15,4,549,,,,B
Hudson_2B_7,PC,18,5,460,,,,B
Kemp_1B_1,PC,19,13,381,,,,B
Kemp_2B_5,PC,21,13,363,,,,B
Kessler_3B_4,PC,22,4,438,,,,B
Kessler_3B_5B,PC,18,4,468,,,,B
Mathis_1B_6,PC,23,14,419,,,,B
Mills_0B_9,PC,21,9,415,,,,B
Mills_1B_45,PC,18,9,388,,,,B
Shealy_0B_2,PC,19,8,474,,,,B
Shealy_0B_4,PC,19,8,501,,,,B
Shealy_1B_3B,PC,20,8,545,,,,B
Shealy_1B_E_S,PC,17,11,377,,,,B
Shealy_2B_3,PC,13,11,358,,,,B
Suggs_0B_E_S,PC,20,4,364,,,,B
Swanson_3B_2,PC,23,9,495,,,,B
Timberhaven_2B_1,PC,19,6,470,,,,B
Abercrombie_0B_E_AB,PC,18,10,461,,,,B
Abercrombie_1B_2,PC,17,10,445,,,,B
Honea_Path_0B_1,PC,18,10,418,,,,B
Honea_Path_3B_1,PC,23,10,370,,,,B
Honea_Path_3B_3,PC,19,10,357,,,,B
