SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,15,3,570,43181,26,3,2017
Blease_3B_9,AC,14,16,403,43181,23,2,2017
Bryson_2B_9,AC,11,31,497,43186,17,1,2017
Creswell_0B_8,AC,10,33,380,43195,20,2,2017
Creswell_2B_10,AC,12,23,503,43196,32,3,2017
Hudson_2B_7,AC,16,24,382,43182,31,3,2017
Kemp_0B_10,AC,13,30,479,43188,18,2,2017
Kemp_1B_1,AC,17,27,481,43188,20,2,2017
Kemp_2B_5,AC,14,10,580,43188,25,4,2017
Kessler_3B_4,AC,11,22,409,43188,18,3,2017
Kessler_3B_5B,AC,15,20,473,43193,30,2,2017
Mathis_1B_6,AC,13,33,503,43194,24,3,2017
Mills_0B_9,AC,10,23,409,43185,12,1,2017
Mills_1B_45,AC,14,50,357,43196,15,2,2017
Shealy_0B_2,AC,10,4,367,43193,21,2,2017
Shealy_0B_4,AC,13,24,454,43189,18,2,2017
Shealy_1B_3B,AC,12,10,429,43194,16,2,2017
Shealy_1B_E_S,AC,15,24,423,43194,13,2,2017
Shealy_2B_3,AC,14,38,450,43181,33,3,2017
Suggs_0B_E_S,AC,18,35,412,43185,65,7,2017
Swanson_3B_2,AC,17,10,461,43189,38,7,2017
Turkey_Rd_2B_6A,AC,15,10,540,43196,19,2,2017
Timberhaven_2B_1,AC,16,32,419,43192,30,4,2017
Burnett_1B_5,AC,17,36,353,43189,32,6,2017
Honea_Path_3B_3,AC,18,2,484,43193,43,8,2017
Honea_Path_3B_1,AC,18,16,408,43192,30,2,2017
Honea_Path_0B_1,AC,11,8,357,43185,14,1,2017
Abercrombie_0B_E_AB,AC,10,2,418,43185,29,3,2017
Abercrombie_1B_2,AC,12,16,448,43186,27,8,2017
Battlewood_1B_8,AC,16,41,511,43325,12,3,2018
Blease_3B_6,AC,15,20,499,43317,15,2,2018
Blease_3B_9,AC,12,32,354,43320,16,2,2018
Bryson_2B_9,AC,12,6,407,43314,13,1,2018
Burnett_1B_5,AC,14,6,485,43314,16,2,2018
Creswell_0B_8,AC,10,34,391,43320,12,1,2018
Creswell_2B_10,AC,15,29,509,43318,13,1,2018
Gosnell_0B_5B,AC,11,36,364,43325,12,1,2018
Hood_Creek_Rd_0B_7,AC,12,35,400,43325,12,1,2018
Hudson_2B_7,AC,15,24,352,43317,13,1,2018
Kemp_1B_1,AC,14,16,362,43315,13,2,2018
Kemp_2B_5,AC,18,28,533,43318,13,1,2018
Kessler_3B_4,AC,16,6,568,43314,17,2,2018
Kessler_3B_5B,AC,17,36,456,43325,14,2,2018
Mathis_1B_6,AC,16,28,469,43320,16,2,2018
Mills_0B_9,AC,9,19,447,43315,14,2,2018
Mills_1B_45,AC,16,10,404,43314,17,2,2018
Shealy_0B_2,AC,19,24,401,43317,13,1,2018
Shealy_0B_4,AC,13,36,500,43325,15,3,2018
Shealy_1B_3B,AC,14,23,538,43317,16,2,2018
Shealy_1B_E_S,AC,16,24,487,43315,12,1,2018
Shealy_2B_3,AC,18,11,517,43315,13,2,2018
Suggs_0B_E_S,AC,18,4,470,43314,18,2,2018
Swanson_3B_2,AC,14,19,420,43317,25,3,2018
Timberhaven_2B_1,AC,14,17,394,43315,13,2,2018
Abercrombie_0B_E_AB,AC,13,25,547,43318,13,1,2018
Abercrombie_1B_2,AC,12,36,353,43320,14,2,2018
Honea_Path_0B_1,AC,17,26,395,43318,12,1,2018
Honea_Path_3B_1,AC,17,26,561,43318,13,1,2018
Honea_Path_3B_3,AC,16,38,365,43320,12,1,2018
