SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Blease_3B_6,AC,15,42868,570,43181,26,3,A
Blease_3B_9,AC,14,42881,403,43181,23,2,A
Bryson_2B_9,AC,11,42896,497,43186,17,1,A
Creswell_0B_8,AC,10,42898,380,43195,20,2,A
Creswell_2B_10,AC,12,42888,503,43196,32,3,A
Hudson_2B_7,AC,16,42889,382,43182,31,3,A
Kemp_0B_10,AC,13,42895,479,43188,18,2,A
Kemp_1B_1,AC,17,42892,481,43188,20,2,A
Kemp_2B_5,AC,14,42875,580,43188,25,4,A
Kessler_3B_4,AC,11,42887,409,43188,18,3,A
Kessler_3B_5B,AC,15,42885,473,43193,30,2,A
Mathis_1B_6,AC,13,42898,503,43194,24,3,A
Mills_0B_9,AC,10,42888,409,43185,12,1,A
Mills_1B_45,AC,14,42915,357,43196,15,2,A
Shealy_0B_2,AC,10,42869,367,43193,21,2,A
Shealy_0B_4,AC,13,42889,454,43189,18,2,A
Shealy_1B_3B,AC,12,42875,429,43194,16,2,A
Shealy_1B_E_S,AC,15,42889,423,43194,13,2,A
Shealy_2B_3,AC,14,42903,450,43181,33,3,A
Suggs_0B_E_S,AC,18,42900,412,43185,55,4,A
Swanson_3B_2,AC,17,42875,461,43189,28,4,A
Turkey_Rd_2B_6A,AC,15,42875,540,43196,19,2,A
Timberhaven_2B_1,AC,16,42897,419,43192,30,4,A
Burnett_1B_5,AC,17,42901,353,43189,22,3,A
Honea_Path_3B_3,AC,18,42867,484,43193,33,3,A
Honea_Path_3B_1,AC,18,42881,408,43192,30,2,A
Honea_Path_0B_1,AC,11,42873,357,43185,14,1,A
Abercrombie_0B_E_AB,AC,10,42867,418,43185,29,3,A
Abercrombie_1B_2,AC,12,42881,448,43186,17,3,A
Blease_3B_6,PC,16,42867,365,,,,A
Blease_3B_9,PC,16,42867,382,,,,A
Bryson_2B_9,PC,11,42866,589,,,,A
Creswell_0B_8,PC,15,42872,392,,,,A
Creswell_2B_10,PC,12,42872,370,,,,A
Hudson_2B_7,PC,16,42866,378,,,,A
Kemp_0B_10,PC,13,42874,386,,,,A
Kemp_1B_1,PC,16,42873,448,,,,A
Kemp_2B_5,PC,15,42873,428,,,,A
Kessler_3B_4,PC,9,42870,360,,,,A
Kessler_3B_5B,PC,20,42870,411,,,,A
Mathis_1B_6,PC,16,42872,503,,,,A
Mills_0B_9,PC,8,42873,514,,,,A
Mills_1B_45,PC,14,42873,544,,,,A
Shealy_0B_2,PC,11,42867,466,,,,A
Shealy_0B_4,PC,15,42867,494,,,,A
Shealy_1B_3B,PC,14,42874,575,,,,A
Shealy_1B_E_S,PC,13,42867,549,,,,A
Shealy_2B_3,PC,16,42867,519,,,,A
Suggs_0B_E_S,PC,17,42871,470,,,,A
Swanson_3B_2,PC,21,42873,390,,,,A
Turkey_Rd_2B_6A,PC,20,42872,428,,,,A
Timberhaven_2B_1,PC,19,42874,441,,,,A
Burnett_1B_5,PC,12,42866,441,,,,A
Honea_Path_3B_3,PC,13,42865,508,,,,A
Honea_Path_3B_1,PC,18,42865,524,,,,A
Honea_Path_0B_1,PC,15,42871,407,,,,A
Abercrombie_0B_E_AB,PC,12,42865,429,,,,A
Abercrombie_1B_2,PC,12,42865,409,,,,A
