Site,y.1,y.2,y.3,y.4,Treatment,Herbicide,LastB,LastT,BA,Nsnags,Ccover,Ldepth,TreeHt,Age,Nburns,Nthins,TimeSinceB,TimeSinceT,HWdens_10,HWdens_50,HWdens_100,FG_herb,FG_shrub,NHW_saplings,NP_over_20cm,Rel_HW2P_canopy,Rel_HW2P_shrubcover,Noise.1,Noise.2,Noise.3,Noise.4,Wind.1,Wind.2,Wind.3,Wind.4,Sky.1,Sky.2,Sky.3,Sky.4,Jdate.1,Jdate.2,Jdate.3,Jdate.4
Kessler_3B_4,0,0,0,,3B,0,2016,2005,105,1.2,94.228,0.65,64.267,31,3,2,1,12,35.4,24.8,6.4,0.654,0.223,3.4,4.6,0.02,0.984210526,1,1,1,,1,0,1,,1,0,1,,2457888.5,2457902.5,2457918.5,
Kessler_3B_5A,1,0,0,,3B,0,2015,2016,91,0.6,89.34,1.088,77.667,31,3,3,2,1,21.75,14.75,11.4,0.72,0.342,1.8,4.6,0.07,0.6,1,3,1,,1,1,1,,1,0,1,,2457888.5,2457902.5,2457918.5,
Kessler_3B_5B,0,1,1,,3B,0,2015,2016,75,1.6,94.28,1.588,78.467,31,3,3,2,1,25.8,25.2,24.2,0.78,0.075,14,3.6,0.22,1,1,1,1,,2,1,0,,1,0,1,,2457888.5,2457902.5,2457918.5,
Livingston_3B_10,0,1,1,0,3B,1,2016,2011,73,1.4,96.1,1.525,78.083,39,4,2,1,6,33.4,26,10.4,0.7125,0.014,15,4,0.33,0.494444444,1,1,1,1,0,3,1,2,1,0,1,2,2457885.5,2457898.5,2457913.5,2457936.5
Mathis_1B_6,1,1,2,2,1B,0,2014,2017,50,0,69.164,1.375,60.333,30,1,2,3,0,34.6,53,39.4,0.617,0.11,28,1.4,0.41,1,3,1,1,1,3,1,0,0,1,2,1,0,2457890.5,2457903.5,2457919.5,2457932.5
Mathis_1B_7,1,1,3,3,1B,0,2014,2012,74,1.6,84.14,2.875,59.8,30,1,1,3,5,53.4,39.4,52.6,0.61,0,38.2,3.8,0.19,1,1,1,1,2,3,1,1,0,0,2,1,0,2457890.5,2457903.5,2457919.5,2457932.5
Mills_0B_9,1,1,0,0,0B,0,,2014,96,1.2,94.696,1.188,68.375,30,0,2,50,3,19,14,10.8,0.016,0,10.2,5,0.42,1,1,1,1,1,1,1,1,0,2,1,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Mills_1B_4,0,0,0,1,1B,0,2007,2016,97,1.2,96.516,2.213,80.267,23,1,2,10,1,33.4,20.6,10.8,0.122,0,2.6,5.2,0.11,1,1,3,2,2,3,1,2,0,1,0,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Mills_1B_45,0,0,0,0,1B,0,2007,2014,99,1.6,95.944,2.35,78.583,29,1,2,10,3,26.2,19,18.2,0.228,0.001,14,5.4,0.40,1,1,1,1,1,1,1,1,0,2,1,1,1,2457891.5,2457906.5,2457923.5,2457936.5
Shealy_0B_2,1,1,1,,0B,0,,2014,101,1.6,91.264,1.888,46.433,18,0,1,50,3,12,8.4,4.4,0.536,0.175,1,2.2,0.03,0.9375,1,1,1,,0,1,1,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_0B_4,0,1,0,,0B,1,,2014,91,0.4,93.708,1.488,57.033,21,0,1,50,3,10.8,14.6,11,0.459,0.245,5.8,6,0.24,1,3,1,2,,1,1,0,,0,1,2,,2457885.5,2457907.5,2457920.5,
Shealy_1B_3A,0,0,1,,1B,1,2016,2014,124,1,97.036,2.013,57.267,21,1,1,1,3,7.8,7.8,6.4,0.782,0.075,1.8,6.4,0.33,0.794444444,3,1,2,,1,1,0,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_1B_3B,0,1,1,,1B,1,2016,2014,92,0.6,90.484,1.413,51.2,21,1,1,1,3,14.8,12.6,15.4,0.549,0.33,5.2,5,0.28,1,3,3,1,,3,1,0,,0,2,2,,2457892.5,2457904.5,2457920.5,
Shealy_1B_E_S,1,0,2,,1B,1,2016,2014,101,1.8,92.876,1.6,57.267,21,1,1,1,3,12,9.6,8,0.529,0.11,8.6,3.2,0.22,1,3,3,1,,1,1,0,,0,2,2,,2457885.5,2457904.5,2457920.5,
Shealy_2B_3,0,1,2,,2B,1,2016,2014,92,1,88.924,0.575,49.933,21,2,1,1,3,7.8,7.2,5.6,0.73,0.25,0,2.6,0.12,0.6,3,1,1,,2,1,1,,0,1,2,,2457885.5,2457907.5,2457920.5,
Suggs_0B_E_S,0,1,2,,0B,1,,2013,76,4.4,87.26,2.7,61.967,21,0,1,50,4,4,5,3.6,0.266,0.117,4.6,5,0.20,0.706060606,1,1,2,,1,1,0,,0,1,1,,2457889.5,2457902.5,2457916.5,
Swanson_2B_E_SW,0,1,3,,2B,0,2015,2016,67,0,83.776,2.163,69.467,28,2,3,2,1,56.2,37.2,31,0.408,0,7.8,2.8,0.31,1,1,1,1,,1,1,0,,1,0,1,,2457891.5,2457906.5,2457931.5,
Swanson_3B_2,1,2,2,,3B,0,2017,2016,69,0,87,1.05,70.688,28,3,3,0,1,24.4,36.6,22.4,0.67,0,7.8,3.8,0.06,1,1,1,1,,1,1,0,,1,0,1,,2457891.5,2457906.5,2457931.5,
Timberhaven_2B_1,1,1,1,,2B,1,2016,2014,73,0,89.6,1.067,54.467,16,2,1,1,3,31.4,13.2,9.6,0.45,0.015,9.8,1.8,0.06,0.994444444,1,1,2,,1,2,1,,1,0,0,,2457892.5,2457898.5,2457913.5,
Timberhaven_3B_7,1,1,2,,3B,1,2016,2015,42,0,55.592,0.725,67.883,32,8,3,1,2,34,27.6,15.6,0.545,0.215,1.4,2.2,0.06,1,1,1,1,,1,2,0,,0,1,0,,2457892.5,2457898.5,2457913.5,
Timberhaven_3B_8,0,1,1,,3B,1,2016,2016,38,0,67.084,0.313,66.8,34,8,3,1,1,39,11,3.2,0.804,0,0.8,2.2,0.06,1,1,1,1,,2,2,0,,0,1,0,,2457892.5,2457898.5,2457913.5,
Turkey_Rd_2B_6A,2,1,3,2,2B,1,2015,2007,66,0.2,82.58,1.588,61,26,2,2,2,10,46.6,28.6,16,0.682,0,1.8,3.2,0.02,0.984210526,1,1,1,2,1,1,1,0,1,5,0,1,2457890.5,2457903.5,2457919.5,2457932.5
Turkey_Rd_2B_6B,1,1,1,1,2B,1,2015,2007,82,0,84.764,1.888,58.933,26,2,2,2,10,42,21.2,3.4,0.74,0,0.8,4.2,0.01,0.751136364,1,1,1,2,1,1,1,1,1,2,0,0,2457890.5,2457903.5,2457919.5,2457932.5
Turner_Abercrombie_0B_E_AB,0,0,0,,0B,1,,2015,97,2.2,93.916,3.113,56.267,16,0,1,50,2,3,3,3,0.04,0.117,2.4,5.4,0.02,0.8,3,3,3,,1,2,0,,1,0,0,,2457883.5,2457899.5,2457918.5,
Turner_Abercrombie_1B_2,0,0,0,,1B,0,2016,2015,114,2,96.724,1.25,57.667,16,1,1,1,2,9.2,7,7.6,0.092,0.021,0.6,7.2,0.02,0.6,3,3,3,,1,1,1,,1,0,0,,2457883.5,2457899.5,2457918.5,
Turner_Honea_Path_0B_1,0,0,0,,0B,1,,2015,121,0.6,98.18,3.25,56.533,16,0,1,50,2,5.2,0.6,2,0.07,0.015,0.8,7.2,0.00,0.4,3,3,2,,1,2,1,,0,1,0,,2457889.5,2457899.5,2457918.5,
Turner_Honea_Path_0B_6,0,0,1,,0B,0,,2016,92,0.2,97.036,2.6,71.4,24,0,2,50,1,65.8,27.2,10.2,0.174,0,13.4,4,0.53,1,1,3,2,,1,2,1,,0,1,0,,2457883.5,2457899.5,2457918.5,
Turner_Honea_Path_3B_1,0,1,1,,3B,1,2011,2015,76,1,93.24,2.8,76.4,25,3,2,6,2,12.6,15.6,4.4,0.165,0,2.6,3.2,0.15,0.794444444,3,1,3,,1,0,0,,1,1,1,,2457883.5,2457902.5,2457916.5,
Turner_Honea_Path_3B_3,0,0,0,,3B,1,2011,2015,90,0.4,93.396,2.625,75.2,29,3,2,6,2,23.8,28.4,9.8,0.016,0,5.6,3,0.09,0.803289474,1,1,3,,1,1,0,,1,1,1,,2457883.5,2457902.5,2457916.5,
