SiteName,Type,SR,Sdate,Stime,Pdate,Pmin,Peffort,Year
Battlewood_1B_8,AC,18,41,388,43338,12,1,B
Blease_3B_6,AC,15,22,398,43335,11,1,B
Blease_3B_9,AC,13,33,380,43338,11,1,B
Bryson_2B_9,AC,13,5,474,43333,11,2,B
Burnett_1B_5,AC,9,8,350,43333,11,2,B
Creswell_0B_8,AC,14,35,530,43338,11,1,B
Creswell_2B_10,AC,14,28,354,43336,12,1,B
Gosnell_0B_5B,AC,15,34,518,43338,12,1,B
Hood_Creek_Rd_0B_7,AC,15,36,505,43338,12,2,B
Hudson_2B_7,AC,15,23,506,43335,12,2,B
Kemp_1B_1,AC,20,16,547,43334,12,2,B
Kemp_2B_5,AC,21,29,460,43336,12,2,B
Kessler_3B_4,AC,14,7,378,43333,12,1,B
Kessler_3B_5B,AC,13,36,352,43338,11,1,B
Mathis_1B_6,AC,10,29,366,43338,13,2,B
Mills_0B_9,AC,7,19,365,43334,12,1,B
Mills_1B_45,AC,14,11,452,43333,11,1,B
Shealy_0B_2,AC,10,22,504,43335,11,1,B
Shealy_0B_4,AC,11,38,564,43338,11,1,B
Shealy_1B_3B,AC,11,24,356,43335,11,1,B
Shealy_1B_E_S,AC,16,23,425,43334,12,2,B
Shealy_2B_3,AC,16,12,444,43334,14,3,B
Suggs_0B_E_S,AC,14,5,370,43333,11,1,B
Swanson_3B_2,AC,11,22,366,43335,11,1,B
Timberhaven_2B_1,AC,17,20,426,43334,11,1,B
Abercrombie_0B_E_AB,AC,12,26,419,43336,12,1,B
Abercrombie_1B_2,AC,15,38,404,43338,12,2,B
Honea_Path_0B_1,AC,18,26,558,43336,13,2,B
Honea_Path_3B_1,AC,15,26,379,43336,11,2,B
Honea_Path_3B_3,AC,16,37,505,43338,12,2,B
Battlewood_1B_8,PC,19,40,412,,,,B
Blease_3B_6,PC,14,34,370,,,,B
Blease_3B_9,PC,12,34,355,,,,B
Bryson_2B_9,PC,11,42,394,,,,B
Burnett_1B_5,PC,15,40,358,,,,B
Creswell_0B_8,PC,12,36,362,,,,B
Creswell_2B_10,PC,15,36,379,,,,B
Gosnell_0B_5B,PC,17,34,445,,,,B
Hood_Creek_Rd_0B_7,PC,14,34,482,,,,B
Hudson_2B_7,PC,15,40,503,,,,B
Kemp_1B_1,PC,20,32,462,,,,B
Kemp_2B_5,PC,13,41,356,,,,B
Kessler_3B_4,PC,16,35,547,,,,B
Kessler_3B_5B,PC,20,35,513,,,,B
Mathis_1B_6,PC,17,41,467,,,,B
Mills_0B_9,PC,13,31,364,,,,B
Mills_1B_45,PC,13,31,390,,,,B
Shealy_0B_2,PC,12,37,354,,,,B
Shealy_0B_4,PC,20,36,462,,,,B
Shealy_1B_3B,PC,14,36,520,,,,B
Shealy_1B_E_S,PC,12,36,482,,,,B
Shealy_2B_3,PC,17,36,547,,,,B
Suggs_0B_E_S,PC,15,35,428,,,,B
Swanson_3B_2,PC,20,32,498,,,,B
Timberhaven_2B_1,PC,15,32,358,,,,B
Abercrombie_0B_E_AB,PC,14,39,432,,,,B
Abercrombie_1B_2,PC,16,39,415,,,,B
Honea_Path_0B_1,PC,16,39,484,,,,B
Honea_Path_3B_1,PC,14,39,356,,,,B
Honea_Path_3B_3,PC,17,39,379,,,,B
