ACFL,AMCR,AMGO,BAWW,BGGN,BHCO,BHNU,BLJA,BRTH,CACH,CAGO,CAWR,CHSP,CHUCK,COGR,COYE,DOWO,EABL,EAPH,EATO,EAWP,FICR,FISP,GCFL,GRCA,HAWO,HOWA,INBU,MODO,NOBO,NOCA,NOFL,NOMO,NOWA,OVEN,PIWA,PIWO,PRWA,RBWO,REVI,RHWO,RSHA,SUTA,TUTI,WBNU,WEVI,WHIP,WITU,WOTH,YBCH,YBCU,YEWA,YTWA,RWBB,owl,CHSW,RBHU,BHVI,HOFI,NOPA,AMRO,RTHU,BLGR,WTSP,AMRE,BACS,GHOW,BDOW,CEWA
0,8,2,0,0,4,1,3,0,8,2,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,0,1,5,2,3,2,0,0,0,4,0,0,7,0,0,0,1,7,1,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,3,0,0,2,0,1,0,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,6,4,5,0,0,0,0,4,0,0,5,4,0,0,3,6,0,0,0,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,0,4,1,0,1,0,0,2,5,4,0,0,0,1,7,0,3,4,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,3,2,1,0,4,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
