ACFL,AMCR,AMGO,BAWW,BGGN,BHCO,BHNU,BLJA,BRTH,CACH,CAGO,CAWR,CHSP,CHUCK,COGR,COYE,DOWO,EABL,EAPH,EATO,EAWP,FICR,FISP,GCFL,GRCA,HAWO,HOWA,INBU,MODO,NOBO,NOCA,NOFL,NOMO,NOWA,OVEN,PIWA,PIWO,PRWA,RBWO,REVI,RHWO,RSHA,SUTA,TUTI,WBNU,WEVI,WHIP,WITU,WOTH,YBCH,YBCU,YEWA,YTWA,RWBB,owl,CHSW,RBHU,BHVI,HOFI,NOPA,AMRO,RTHU,BLGR,WTSP,AMRE,BACS,GHOW,BDOW,CEWA
0,5,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,0,8,0,0,0,0,8,1,0,3,0,0,0,8,6,0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,1,1,1,0,5,0,3,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,8,6,2,7,0,0,0,0,5,0,0,1,2,0,0,6,4,0,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,7,0,5,0,0,0,0,8,0,0,0,0,0,0,5,3,0,0,2,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
